score_fn,auc_g_syn,auc_g_oth,auc_g_all,tpr@5pct_syn,tpr@1pct_syn,eer_syn,tpr@5pct_oth,tpr@5pct_all,gap_syn,gap_oth
cosine_snorm_honest,0.8275,0.9401,0.8838,0.4750,0.3667,0.2792,0.7167,0.5000,2.2450,3.1022
mahal_per_sender_snorm_honest,0.8465,0.9432,0.8949,0.5250,0.3500,0.2433,0.7583,0.5833,2.9951,3.9122
hybrid_alpha_0.0,0.8275,0.9401,0.8838,0.4750,0.3667,0.2792,0.7167,0.5000,2.2450,3.1022
hybrid_alpha_0.1,0.8300,0.9413,0.8856,0.4833,0.3750,0.2750,0.7250,0.5083,2.3200,3.1832
hybrid_alpha_0.2,0.8331,0.9424,0.8878,0.4833,0.3750,0.2817,0.7417,0.5083,2.3950,3.2642
hybrid_alpha_0.3,0.8356,0.9427,0.8892,0.4833,0.3750,0.2658,0.7583,0.5333,2.4700,3.3452
hybrid_alpha_0.4,0.8380,0.9442,0.8911,0.4833,0.3667,0.2658,0.7583,0.5583,2.5451,3.4262
hybrid_alpha_0.5,0.8397,0.9448,0.8922,0.4833,0.3667,0.2542,0.7500,0.5750,2.6201,3.5072
hybrid_alpha_0.6,0.8415,0.9456,0.8935,0.4917,0.3583,0.2592,0.7583,0.5750,2.6951,3.5882
hybrid_alpha_0.7,0.8430,0.9455,0.8943,0.5083,0.3583,0.2567,0.7583,0.5750,2.7701,3.6692
hybrid_alpha_0.8,0.8442,0.9445,0.8943,0.5250,0.3583,0.2500,0.7583,0.5750,2.8451,3.7502
hybrid_alpha_0.9,0.8455,0.9438,0.8947,0.5250,0.3583,0.2550,0.7500,0.5750,2.9201,3.8312
hybrid_alpha_1.0,0.8465,0.9432,0.8949,0.5250,0.3500,0.2433,0.7583,0.5833,2.9951,3.9122
